Serial No.,Timestamp,Temperature (°C),Humidity (%),CO2 (PPM),PM 1 (µg/m³),PM 2.5 (µg/m³),PM 10 (µg/m³)
492,2026-04-15 16:07:44,32.8,57.0,,,,
493,2026-04-15 16:07:49,32.8,57.0,,,,
494,2026-04-15 16:07:54,32.8,57.0,,,,
495,2026-04-15 16:07:59,32.8,57.0,,,,
496,2026-04-15 16:08:04,32.8,57.0,,,,
497,2026-04-15 16:08:09,32.8,57.0,,,,
498,2026-04-15 16:08:14,32.8,57.0,,,,
499,2026-04-15 16:08:19,32.8,57.0,,,,
500,2026-04-15 16:08:24,32.8,57.0,,,,
501,2026-04-15 16:08:29,32.8,57.0,,,,
502,2026-04-15 16:08:34,32.8,57.0,,,,
503,2026-04-15 16:08:39,32.8,57.0,,,,
504,2026-04-15 16:08:44,32.8,57.0,,,,
505,2026-04-15 16:08:49,32.8,57.0,,,,
506,2026-04-15 16:08:54,32.8,57.0,,,,
507,2026-04-15 16:08:59,32.8,57.0,,,,
508,2026-04-15 16:09:04,32.8,57.0,,,,
509,2026-04-15 16:09:09,32.8,57.0,,,,
510,2026-04-15 16:09:14,32.8,57.0,,,,
511,2026-04-15 16:09:19,32.8,57.0,,,,
512,2026-04-15 16:09:24,32.8,57.0,,,,
513,2026-04-15 16:09:29,32.8,57.0,,,,
514,2026-04-15 16:09:34,32.8,57.0,,,,
515,2026-04-15 16:09:39,32.8,57.0,,,,
516,2026-04-15 16:09:44,32.8,57.0,,,,
